,Age,Constituency,Criminal_Cases,Education_Level,Name,Number_of_Cases,PAN_Given_(Y_or_N),Party_Code,Total_Assets,Total_Liabilities,common_link,elec_link
11,33,JAUNPUR,No,Graduate,Dr.Sanjivan Bind in Loksabha 2014,0,Y,IND,9626000,500000,http://myneta.info/compare_profile.php?group_id=Ft68PGuygyVD372NqGw,http://myneta.info/ls2014/candidate.php?candidate_id=9653
12,31,JAUNPUR,No,Graduate,Sajeewan  in Uttar Pradesh 2012,0,Y,IND,13650000,17000,http://myneta.info/compare_profile.php?group_id=Ft68PGuygyVD372NqGw,http://myneta.info/up2012/candidate.php?candidate_id=6863
13,59,TRAL,No,Post Graduate,Mushtaq Ahmad Shah in Jammu & Kashmir Election 2014,0,Y,JKPDP,25787179,300000,http://myneta.info/compare_profile.php?group_id=9QHisXyPNVqStJkjypKX,http://myneta.info/jk2014/candidate.php?candidate_id=493
14,53,Tral,No,Post Graduate,MUSHTAQ AHMAD SHAH in Jammu & Kashmir 2008,0,N,JKPDP,21175000,400000,http://myneta.info/compare_profile.php?group_id=9QHisXyPNVqStJkjypKX,http://myneta.info/jk2008/candidate.php?candidate_id=488
15,45,MANENDRAGARH,No,Graduate,Gulab Singh Gond in Chhattisgarh 2013,0,Y,INC,9210023,1503217,http://myneta.info/compare_profile.php?group_id=u6SSu4rWwNh5uJbgqBxU,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=496
16,41,Bharatpur-Sonhat,No,Graduate,GULAB SINGH in Chattisgarh 2008,0,Y,INC,1486425,1608000,http://myneta.info/compare_profile.php?group_id=u6SSu4rWwNh5uJbgqBxU,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=202
17,68,MANENDRAGARH,Yes,Graduate,Ramanuj Agrawal in Chhattisgarh 2013,1,Y,NCP,72118463,1490814,http://myneta.info/compare_profile.php?group_id=meSdAUiiAhfHzWf4RTT,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=495
18,54,Manendragarh,Yes,12th Pass,RAMANUJ (RAMU BHAIYA ) in Chattisgarh 2008,1,Y,NCP,10220687,120000,http://myneta.info/compare_profile.php?group_id=meSdAUiiAhfHzWf4RTT,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=206
19,51,BAIKUNTHPUR,No,5th Pass,Bedanti Prasad Tivari in Chhattisgarh 2013,0,Y,INC,24342366,527726,http://myneta.info/compare_profile.php?group_id=8YfHdDAFVDa74cyeMRek,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=499
20,47,Baikunthpur,No,Not Given,BEDANTI TIWARI in Chattisgarh 2008,0,Y,INC,6263000,569000,http://myneta.info/compare_profile.php?group_id=8YfHdDAFVDa74cyeMRek,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=210
21,53,JAYNAGAR,No,Graduate,Arnab Roy in Loksabha 2014,0,Y,INC,5661003,1080000,http://myneta.info/compare_profile.php?group_id=w5c3USPFE9xeBTbyTE,http://myneta.info/ls2014/candidate.php?candidate_id=9384
22,50,BASANTI (SC),No,Graduate,Arnab Roy in West Bengal 2011,0,Y,INC,1361000,200000,http://myneta.info/compare_profile.php?group_id=w5c3USPFE9xeBTbyTE,http://myneta.info/westbengal2011/candidate.php?candidate_id=725
23,62,JAYNAGAR,No,Graduate,Subhas Naskar in Loksabha 2014,0,Y,RSP,4135709,0,http://myneta.info/compare_profile.php?group_id=Rews995bEu66hE7ezNSR,http://myneta.info/ls2014/candidate.php?candidate_id=9386
24,59,BASANTI (SC),No,Graduate,Subhas Naskar in West Bengal 2011,0,Y,RSP,1804001,0,http://myneta.info/compare_profile.php?group_id=Rews995bEu66hE7ezNSR,http://myneta.info/westbengal2011/candidate.php?candidate_id=724
25,39,BUDHANA,No,Graduate Professional,Yog Raj Singh in Uttar Pradesh 2012,0,Y,BSP,26151196,1000000,http://myneta.info/compare_profile.php?group_id=qi6fTVJedrPRpmgYiVE,http://myneta.info/up2012/candidate.php?candidate_id=1846
26,34,Khatauli,No,Graduate Professional,YOGRAJ SINGH in Uttar Pradesh 2007,0,Y,BSP,7293320,0,http://myneta.info/compare_profile.php?group_id=qi6fTVJedrPRpmgYiVE,http://myneta.info/up2007/candidate.php?candidate_id=765
27,41,CHHENDIPADA,No,12th Pass,Gobinda Naik in Odisha 2014,0,Y,BSP,102695000,0,http://myneta.info/compare_profile.php?group_id=iAhqy54LvHgKWwkRBdNh,http://myneta.info/odisha2014/candidate.php?candidate_id=361
28,36,CHHENDIPADA (SC),No,Not Given,Gobinda Naik in Orissa 2009,0,Y,BSP,9718000,3000500,http://myneta.info/compare_profile.php?group_id=iAhqy54LvHgKWwkRBdNh,http://myneta.info/orissa2009/candidate.php?candidate_id=268
29,61,ANAND,No,Graduate Professional,Pursottambhai Mathurbhai Chauhan in Loksabha 2014,0,Y,BSP,7356493,18000,http://myneta.info/compare_profile.php?group_id=wkZqTogcaUDxsWopZY2z,http://myneta.info/ls2014/candidate.php?candidate_id=4565
30,60,KHAMBHAT,No,Others,Purshottambhai Mathurbhai Chauhan in Gujarat 2012,0,Y,BSP,4751017,0,http://myneta.info/compare_profile.php?group_id=wkZqTogcaUDxsWopZY2z,http://myneta.info/gujarat2012/candidate.php?candidate_id=1940
31,35,KAPILVASTU (SC),No,Graduate,Manju Devi in Uttar Pradesh 2012,0,Y,IND,12965000,390000,http://myneta.info/compare_profile.php?group_id=8xAkvNCAmDZ9pwnfo4Um,http://myneta.info/up2012/candidate.php?candidate_id=2713
32,31,Khalilabad,No,Graduate,MANJU DEVI in Uttar Pradesh 2007,0,Y,RLD,675510,200000,http://myneta.info/compare_profile.php?group_id=8xAkvNCAmDZ9pwnfo4Um,http://myneta.info/up2007/candidate.php?candidate_id=1105
33,39,BHAVNAGAR,No,Graduate Professional,Gita Chetan Paunda in Loksabha 2014,0,Y,BSP,468200,113000,http://myneta.info/compare_profile.php?group_id=oq4NxDCC44zWHVXMQQ4X,http://myneta.info/ls2014/candidate.php?candidate_id=4586
34,37,BHAVNAGAR EAST,No,Graduate,Ponda Geeta Chetan in Gujarat 2012,0,Y,IND,195425,47000,http://myneta.info/compare_profile.php?group_id=oq4NxDCC44zWHVXMQQ4X,http://myneta.info/gujarat2012/candidate.php?candidate_id=162
35,38,KALAGHATGI,No,Graduate,Santhosh Lad in Karnataka 2013,0,Y,INC,1864009320,99147816,http://myneta.info/compare_profile.php?group_id=Rhjq7og9doYWr2UTeFM,http://myneta.info/karnataka2013/candidate.php?candidate_id=906
36,33,Kalghatgi,No,Graduate,SANTOSH.S. LAD in Karnataka 2008,0,Y,INC,615537653,13430000,http://myneta.info/compare_profile.php?group_id=Rhjq7og9doYWr2UTeFM,http://myneta.info/karnatka2008/candidate.php?candidate_id=859
