,Age,Assets_Rs,Constituency,Criminal_Cases,Education,Liabilities_Rs,Link,Name,Party,State,Winner,Year
16,44,14271000,KAKINADA,0,Graduate Professional,0,candidate.php?candidate_id=8933,Srinivas Dangeti,AAP,ANDHRA PRADESH,0,2014
17,44,101992671,KAKINADA,0,Post Graduate,18930000,candidate.php?candidate_id=8196,Sunil Kumar Chalamalasetty,Yuvajana Sramika Rythu Congress Party,ANDHRA PRADESH,0,2014
18,55,1599555,KAKINADA,0,Literate,428000,candidate.php?candidate_id=9124,Tekumudi Venkata Rao,Pyramid Party of India,ANDHRA PRADESH,0,2014
19,38,16322137,KAKINADA,1,Graduate,1282773,candidate.php?candidate_id=9122,Tummalapalli Satya Ramakrishna,Jai Samaikyandhra Party,ANDHRA PRADESH,0,2014
20,45,3041950,KAKINADA,0,Graduate Professional,314257,candidate.php?candidate_id=8931,Venkata Appala Narasimha Rao Karra,IND,ANDHRA PRADESH,0,2014
21,41,45000,KAKINADA,1,Graduate,0,candidate.php?candidate_id=9125,Vijamalla Chitti Babu,IND,ANDHRA PRADESH,0,2014
0,42,2426240513,KURNOOL,1,10th Pass,312279927,candidate.php?candidate_id=8202,Butta Renuka,Yuvajana Sramika Rythu Congress Party,ANDHRA PRADESH,1,2014
1,42,16375000,KURNOOL,0,Post Graduate,500000,candidate.php?candidate_id=8332,Bendula Thirumala Naidu,TDP,ANDHRA PRADESH,0,2014
2,37,5717000,KURNOOL,0,Post Graduate,0,candidate.php?candidate_id=8938,D.Chand Basha,IND,ANDHRA PRADESH,0,2014
3,45,135654625,KURNOOL,0,10th Pass,40047000,candidate.php?candidate_id=8940,Dande Yugander,IND,ANDHRA PRADESH,0,2014
4,76,735000,KURNOOL,0,Post Graduate,0,candidate.php?candidate_id=8203,Elia Nagella,Welfare Party Of India,ANDHRA PRADESH,0,2014
5,35,1585000,KURNOOL,0,Graduate,60000,candidate.php?candidate_id=8935,Gajula Jakeer Hussain,Jai Samaikyandhra Party,ANDHRA PRADESH,0,2014
6,40,5414312,KURNOOL,0,Post Graduate,0,candidate.php?candidate_id=8333,Kirankumar Vissa,AAP,ANDHRA PRADESH,0,2014
7,37,9557285,KURNOOL,0,Graduate,1300000,candidate.php?candidate_id=8941,Kondiparthi Venkat Prasad,RPI,ANDHRA PRADESH,0,2014
8,47,3087000,KURNOOL,0,Post Graduate,560000,candidate.php?candidate_id=8939,Kothuru Satyanarayana Gupta,IND,ANDHRA PRADESH,0,2014
9,62,48182614,KURNOOL,0,Graduate,3000000,candidate.php?candidate_id=8201,Kotla Jaya Surya Prakash Reddy,INC,ANDHRA PRADESH,0,2014
10,43,1454000,KURNOOL,0,Graduate,18000,candidate.php?candidate_id=8334,Mallikal,BSP,ANDHRA PRADESH,0,2014
11,55,370000,KURNOOL,0,Post Graduate,0,candidate.php?candidate_id=8335,Noor Ahmed Madani,Socialistic Democratic Party,ANDHRA PRADESH,0,2014
0,64,34850000,MACHILIPATNAM,0,12th Pass,9800000,candidate.php?candidate_id=8339,Konakalla Narayana Rao,TDP,ANDHRA PRADESH,1,2014
1,48,1372180,MACHILIPATNAM,1,10th Pass,212000,candidate.php?candidate_id=8880,Jampana Srinivasa Goud,IND,ANDHRA PRADESH,0,2014
2,42,499399880,MACHILIPATNAM,0,Graduate Professional,22800000,candidate.php?candidate_id=8876,Kammili Srinivas,Jai Samaikyandhra Party,ANDHRA PRADESH,0,2014
