,HHinc,HHDeclarations,self_declare,self_inc
candidate.php?candidate_id=1503,1351365.0,2,Y,1351365.0
candidate.php?candidate_id=1504,,0,,
candidate.php?candidate_id=1505,858915.0,2,Y,502171.0
candidate.php?candidate_id=1506,0.0,1,Y,0.0
candidate.php?candidate_id=1507,198421.0,2,Y,63815.0
candidate.php?candidate_id=1508,0.0,1,Y,0.0
candidate.php?candidate_id=151,0.0,1,Y,0.0
candidate.php?candidate_id=1510,1887742.0,1,Y,1887742.0
candidate.php?candidate_id=1511,3814720.0,1,Y,3814720.0
candidate.php?candidate_id=1515,1077900.0,3,Y,656292.0
candidate.php?candidate_id=1516,,0,,
candidate.php?candidate_id=1517,160000.0,1,Y,160000.0
candidate.php?candidate_id=152,235550.0,1,Y,235550.0
candidate.php?candidate_id=1521,0.0,1,Y,0.0
candidate.php?candidate_id=1522,1072700.0,2,Y,701260.0
candidate.php?candidate_id=1524,0.0,1,Y,0.0
candidate.php?candidate_id=1525,0.0,1,Y,0.0
candidate.php?candidate_id=1526,,0,,
candidate.php?candidate_id=1527,0.0,1,Y,0.0
candidate.php?candidate_id=1528,,0,,
candidate.php?candidate_id=1529,,0,,
candidate.php?candidate_id=153,,0,,
candidate.php?candidate_id=1532,200020.0,1,Y,200020.0
candidate.php?candidate_id=1533,,0,,
candidate.php?candidate_id=1534,,0,,
candidate.php?candidate_id=1535,0.0,1,Y,0.0
candidate.php?candidate_id=1536,,0,,
candidate.php?candidate_id=1537,,0,,
candidate.php?candidate_id=1539,0.0,1,Y,0.0
candidate.php?candidate_id=154,,0,,
candidate.php?candidate_id=1540,0.0,1,Y,0.0
candidate.php?candidate_id=1541,112500.0,1,Y,112500.0
candidate.php?candidate_id=1542,0.0,1,Y,0.0
candidate.php?candidate_id=1544,,0,,
candidate.php?candidate_id=1545,0.0,1,Y,0.0
candidate.php?candidate_id=1546,,0,,
candidate.php?candidate_id=1547,,0,,
candidate.php?candidate_id=1548,0.0,1,Y,0.0
candidate.php?candidate_id=1549,0.0,1,Y,0.0
