,Age,Constituency,Criminal_Cases,Education_Level,Name,Number_of_Cases,PAN_Given_(Y_or_N),Party_Code,Total_Assets,Total_Liabilities,common_link,elec_link
5006,55,Bhandup West,Yes,10th Pass,Shishir Krushnarao Shinde in Maharashtra 2009,8,Y,MNS,16838000,1614000,http://myneta.info/compare_profile.php?group_id=vcQ8BywtK6gCAk8Nbmt,http://myneta.info/mh2009/candidate.php?candidate_id=351
5007,55,Mumbai North East,Yes,10th Pass,SHISHIR SHINDE in Lok Sabha 2009,7,Y,MNS,16838000,1664000,http://myneta.info/compare_profile.php?group_id=vcQ8BywtK6gCAk8Nbmt,http://myneta.info/ls2009/candidate.php?candidate_id=5423
5008,65,NAINITAL-UDHAMSINGH NAGAR,No,12th Pass,K.C.Singh Baba in Loksabha 2014,0,Y,INC,63829355,598585,http://myneta.info/compare_profile.php?group_id=VWiET2CVZfBfXjYYA94T,http://myneta.info/ls2014/candidate.php?candidate_id=7977
5011,58,VISAKHAPATNAM,No,10th Pass,Vijayamma Yaduguri Sandinti in Loksabha 2014,0,Y,Yuvajana Sramika Rythu Congress Party,21939132,0,http://myneta.info/compare_profile.php?group_id=pHhkvfppN7MCzE29nA8,http://myneta.info/ls2014/candidate.php?candidate_id=9049
5012,55,PULIVENDLA : BYE - ELECTION ON 08-05-2011,No,10th Pass,Y.S. Vijayamma in Andhra Pradesh Bye Election,0,Y,Yuvajana Sramika Rythu Congress Party,22962801,0,http://myneta.info/compare_profile.php?group_id=pHhkvfppN7MCzE29nA8,http://myneta.info/apbye/candidate.php?candidate_id=41
5022,73,SOLAPUR,No,Graduate Professional,Shinde Sushilkumar Sambhajirao in Loksabha 2014,0,Y,INC,234700792,150000,http://myneta.info/compare_profile.php?group_id=oMNfBvHsKPTLhENdeX8t,http://myneta.info/ls2014/candidate.php?candidate_id=3693
5023,68,Solapur,No,Graduate Professional,SHINDE SUSHILKUMAR SAMBHAJIRAO in Lok Sabha 2009,0,Y,INC,86042099,3700000,http://myneta.info/compare_profile.php?group_id=oMNfBvHsKPTLhENdeX8t,http://myneta.info/ls2009/candidate.php?candidate_id=3737
5024,63,SOUTH SOLAPUR,No,Post Graduate,SUSHILKUMAR SAMBHAJIRAO SHINDE in Maharashtra 2004,0,Y,INC,27495519,0,http://myneta.info/compare_profile.php?group_id=oMNfBvHsKPTLhENdeX8t,http://myneta.info/mah2004/candidate.php?candidate_id=215
5025,46,SOLAPUR,Yes,Graduate Professional,Sharad Bansode in Loksabha 2014,1,Y,BJP,60152887,7604375,http://myneta.info/compare_profile.php?group_id=czLkeoPB6NH4YR6vvET8,http://myneta.info/ls2014/candidate.php?candidate_id=3692
5026,41,Solapur,No,Graduate Professional,ADV. BANSODE SHARAD MARUTI in Lok Sabha 2009,0,Y,BJP,23038727,0,http://myneta.info/compare_profile.php?group_id=czLkeoPB6NH4YR6vvET8,http://myneta.info/ls2009/candidate.php?candidate_id=3736
5027,35,SIROHI,Yes,8th Pass,Gopal Ram in Rajasthan 2013,1,Y,NUZP,4237750,548066,http://myneta.info/compare_profile.php?group_id=xiarKxsL3XsiYWh6FBgQ,http://myneta.info/rajasthan2013/candidate.php?candidate_id=2187
