liab_accom,liab_banks/fis,liab_elec,liab_other,liab_tax_income,liab_tax_prop,liab_tax_sales,liab_tax_wealth,liab_tel,liab_total,liab_transp,liab_water,url
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=798
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=98
100000.0,,,,,,,,,100000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=4546
,,5000.0,,,,,,123000.0,138000.0,,10000.0,http://myneta.info/loksabha2004/candidate.php?candidate_id=4545
,,,,0.0,,,,,0.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=4544
,,,,,,,,260630.0,260630.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=4543
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1889
,23686.0,,,686.0,,,,,24372.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1888
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=4982
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1887
,10330.0,,,,,,,,10330.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1886
,60000.0,,,,,,,,60000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1880
20000.0,,18000.0,,,,,,,38000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=4822
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2545
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=3785
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2544
,,,,0.0,,,,,0.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2866
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2867
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2864
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2865
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2862
,5000.0,,,,,,,,5000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2547
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2861
,,,,0.0,,,,,0.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2736
,200000.0,,,4162.0,,,,,204162.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2546
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2868
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=79
,,,,0.0,,,,,0.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=78
,3962814.0,,,,14900.0,,,,3977714.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=75
,9889900.0,,,,,,,,9889900.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=74
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=77
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=76
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=71
,1050000.0,,,,,,,,1050000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=70
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=73
,142242.5,,,,,,,,142242.5,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=72
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=4046
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=4047
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=4044
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=4045
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=4048
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5412
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5413
,37500.0,,,,,,,,37500.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5410
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=531
,,,,0.0,,,,,46656.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5411
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=530
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5416
,,,559190.0,0.0,,,,,6778874.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5417
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1461
,450000.0,,,35291.0,,,,149000.0,634291.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1460
,,,,,0.0,,,,0.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5414
,17442.0,,,,,,,,17442.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1465
,,,,0.0,,,,,0.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5415
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=4138
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=4136
,2518750.0,,,,,64700.0,,17000.0,2678935.0,,78485.0,http://myneta.info/loksabha2004/candidate.php?candidate_id=4137
,200000.0,,,,,,,,200000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=4135
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=4132
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=539
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1019
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2661
,6388000.0,,,,,,,103008.0,6640008.0,149000.0,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1012
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2666
,3949827.0,,,,,,,,3949827.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1013
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2667
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1728
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1812
,41438.0,,,,,,,,41438.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1813
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1720
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1721
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1722
,32587745.0,,,,,,,,32587745.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1723
,,,1295387.0,,,,,,1295387.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1724
,159535.0,,,,,,,,159535.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1725
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1726
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5399
,,,,0.0,,,,,0.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5398
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5395
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5394
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5397
,3000000.0,,,,,,,,3000000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5396
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5391
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5390
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5393
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5392
,261163.0,,15190338.0,,,,,,15451501.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1655
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1656
,5500000.0,,,,12000.0,,1986.0,,5513986.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1657
,,,,4450.0,,,,,4450.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1650
,128000.0,,,,,,,,128000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1651
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1652
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1653
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1658
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1659
,,,,52817.0,,,1500.0,,54317.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1819
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2040
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=4106
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2049
,47000.0,,,,,,,,47000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2282
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2283
,,,,,0.0,,,,287640.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2281
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2284
,4680000.0,,,,,,,,4680000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2288
,2301561.0,,,39738.0,,,,,2341299.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2289
500000.0,,,,,,,,,500000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1439
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5178
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5171
,,,,0.0,,,,,0.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5170
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5173
,,,,0.0,,,,,0.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5172
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5175
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5174
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5177
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5176
,195903.0,,,,,,,,195903.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=944
,720000.0,,,,,,,,720000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=945
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=946
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=947
,5000.0,,,,,,,,5000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=940
,500000.0,,,,,,,,500000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=941
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1388
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1389
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1386
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1387
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1384
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1385
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1382
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1383
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1380
